Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,1,1.000000,0.996715,0.992819,0.987526,0.982972,0.978712,0.975848,0.974286,0.972440,0.971524,0.971172,0.971068,0.992572,0.992351,0.992290,0.992285,0.975339,0.972504,0.969313,0.966782,0.964534,0.961977,0.959856,0.957831,0.956843,0.956460,0.956349,0.975589,0.975415,0.975326,0.971259,0.970988,0.970849,0.970803,34.357792,41.262192, 457.528527, 221.591179
0,2,1.000000,0.996705,0.993078,0.988182,0.983961,0.979968,0.977322,0.975896,0.974270,0.973487,0.973195,0.973095,0.992822,0.992592,0.992533,0.992529,0.976784,0.974134,0.971187,0.968765,0.966654,0.964269,0.962380,0.960598,0.959775,0.959441,0.959356,0.977068,0.976898,0.976807,0.973250,0.973013,0.972894,0.972855,34.632588,38.909205, 235.298688, 113.960356
0,3,1.000000,0.996707,0.993342,0.988770,0.984838,0.981142,0.978689,0.977333,0.975714,0.974900,0.974579,0.974477,0.993131,0.992932,0.992877,0.992872,0.978196,0.975726,0.973005,0.970800,0.968880,0.966692,0.964894,0.963252,0.962473,0.962174,0.962084,0.978481,0.978342,0.978276,0.974674,0.974456,0.974350,0.974317,34.850012,39.364242, -45.503713, -22.038454
0,4,1.000000,0.996710,0.993346,0.988833,0.984979,0.981366,0.979247,0.978125,0.976754,0.976039,0.975751,0.975679,0.993082,0.992861,0.992815,0.992811,0.978318,0.975738,0.972861,0.970568,0.968638,0.966381,0.964551,0.962970,0.962178,0.961823,0.961726,0.979028,0.978882,0.978818,0.975848,0.975649,0.975551,0.975521,34.861396,40.337569, -97.332663, -47.140360
0,5,1.000000,0.996410,0.992764,0.987860,0.983675,0.979730,0.976941,0.975344,0.973378,0.972460,0.972076,0.971972,0.992555,0.992363,0.992310,0.992305,0.976710,0.974144,0.971389,0.969162,0.967191,0.964927,0.963050,0.961123,0.960160,0.959780,0.959665,0.976746,0.976613,0.976555,0.972232,0.971992,0.971879,0.971851,35.258891,37.420239, 291.732950, 141.292716
0,6,1.000000,0.996146,0.992054,0.986569,0.981803,0.977268,0.973905,0.972057,0.970047,0.969111,0.968749,0.968616,0.991861,0.991705,0.991660,0.991656,0.973913,0.971129,0.968114,0.965578,0.963399,0.961092,0.959210,0.957590,0.956753,0.956421,0.956291,0.973611,0.973404,0.973296,0.968842,0.968557,0.968420,0.968382,35.866013,30.266517, 715.372219, 346.470579
0,7,1.000000,0.995862,0.992446,0.987934,0.984134,0.980661,0.978378,0.977139,0.975768,0.975029,0.974824,0.974721,0.992315,0.992239,0.992256,0.992255,0.977949,0.975712,0.973149,0.970788,0.968710,0.966606,0.964554,0.962907,0.962219,0.961868,0.961825,0.978167,0.978025,0.977934,0.974719,0.974438,0.974330,0.974301,37.592326,30.000026, 26.649050, 12.906724
0,8,1.000000,0.996933,0.995345,0.993438,0.991502,0.989693,0.987959,0.987018,0.985868,0.985375,0.985175,0.985092,0.995353,0.995335,0.995324,0.995324,0.988682,0.987892,0.986845,0.985704,0.984976,0.984514,0.983975,0.983219,0.982921,0.982955,0.982990,0.987800,0.987685,0.987611,0.985245,0.985102,0.985039,0.985013,27.202073,30.116323, -11.629693, -5.632517
0,9,1.000000,0.996420,0.995067,0.993633,0.992211,0.990935,0.990156,0.989696,0.989059,0.988976,0.988890,0.988879,0.995084,0.995123,0.995149,0.995153,0.990014,0.989082,0.988132,0.987622,0.987062,0.986664,0.986309,0.986181,0.986086,0.985906,0.985819,0.990114,0.990073,0.990000,0.989017,0.989079,0.989130,0.989153,32.920555,30.000042, 11.628101, 5.631746
0,10,1.000000,0.996769,0.998324,1.001164,1.003380,1.005315,1.005702,1.005905,1.006178,1.006444,1.006546,1.006609,0.998464,0.998682,0.998735,0.998737,1.007578,1.009395,1.011819,1.013955,1.015643,1.017577,1.019113,1.020544,1.021547,1.021931,1.021998,1.005746,1.005788,1.005833,1.006522,1.006607,1.006722,1.006775,38.407470,45.476110, -1547.606746, -749.540157
0,11,1.000000,0.996899,0.998110,1.000346,1.002329,1.004040,1.005432,1.006223,1.006894,1.007108,1.007075,1.007098,0.998303,0.998593,0.998699,0.998706,1.005445,1.006654,1.008179,1.009051,1.009594,1.010262,1.010791,1.011196,1.011436,1.011601,1.011595,1.005537,1.005636,1.005745,1.007309,1.007450,1.007514,1.007511,36.248167,58.434144, -1295.803401, -627.586231
0,12,1.000000,0.996939,0.997637,0.999307,1.000149,1.000967,1.002474,1.003212,1.004569,1.005281,1.005717,1.005974,0.997648,0.997702,0.997678,0.997675,1.001258,1.001713,1.001708,1.001985,1.002403,1.003178,1.003844,1.004635,1.004871,1.004794,1.004817,1.002677,1.002789,1.002852,1.005292,1.005375,1.005369,1.005365,35.495194,67.063732, -862.958827, -417.950036
