Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,1,1.000000,0.998143,0.995029,0.990829,0.987219,0.983825,0.981512,0.980239,0.978732,0.977986,0.977692,0.977602,0.994807,0.994601,0.994549,0.994545,0.981156,0.978967,0.976592,0.974666,0.973005,0.971115,0.969597,0.968203,0.967552,0.967300,0.967222,0.981311,0.981180,0.981117,0.977780,0.977568,0.977461,0.977427,26.511297,66.995124, 1305.144587, 632.110373
0,2,1.000000,0.998152,0.995352,0.991560,0.988291,0.985226,0.983061,0.981865,0.980492,0.979829,0.979556,0.979483,0.995166,0.994993,0.994942,0.994939,0.982862,0.980883,0.978703,0.976953,0.975415,0.973626,0.972170,0.970831,0.970224,0.969987,0.969919,0.982877,0.982751,0.982687,0.979660,0.979486,0.979402,0.979371,26.724730,53.151204, 969.074377, 469.344142
0,3,1.000000,0.998154,0.995477,0.991841,0.988728,0.985800,0.983828,0.982752,0.981503,0.980907,0.980686,0.980624,0.995307,0.995154,0.995111,0.995108,0.983485,0.981563,0.979423,0.977720,0.976254,0.974622,0.973276,0.972028,0.971438,0.971215,0.971141,0.983649,0.983527,0.983461,0.980725,0.980543,0.980456,0.980429,26.825197,41.080212, 844.969430, 409.237373
0,4,1.000000,0.998158,0.995496,0.991899,0.988840,0.985944,0.984053,0.983036,0.981784,0.981246,0.981084,0.981036,0.995312,0.995149,0.995110,0.995106,0.983617,0.981712,0.979610,0.977977,0.976588,0.974983,0.973660,0.972400,0.971776,0.971525,0.971433,0.983870,0.983750,0.983701,0.981036,0.980818,0.980699,0.980661,26.843267,30.001921, 775.480401, 375.582300
0,5,1.000000,0.997713,0.995904,0.993536,0.991484,0.989558,0.988337,0.987684,0.986922,0.986523,0.986384,0.986370,0.995826,0.995759,0.995735,0.995734,0.988023,0.986680,0.985206,0.983957,0.982852,0.981606,0.980579,0.979588,0.979091,0.978875,0.978798,0.988217,0.988144,0.988113,0.986389,0.986251,0.986178,0.986150,29.444482,30.001898, 0.001601, 0.000776
0,6,1.000000,0.997292,0.995626,0.993579,0.991831,0.990220,0.989252,0.988721,0.988106,0.987688,0.987554,0.987537,0.995548,0.995489,0.995481,0.995478,0.988947,0.987934,0.986670,0.985598,0.984656,0.983417,0.982396,0.981551,0.981109,0.980957,0.980947,0.989167,0.989098,0.989061,0.987536,0.987376,0.987301,0.987269,33.661369,30.000202, 0.118679, 0.057479
0,7,1.000000,0.997124,0.995853,0.994522,0.993407,0.992482,0.992372,0.992257,0.992206,0.992380,0.992524,0.992575,0.995761,0.995660,0.995637,0.995635,0.991554,0.990677,0.989877,0.989244,0.988745,0.988552,0.988254,0.987837,0.987509,0.987396,0.987443,0.992404,0.992447,0.992495,0.992339,0.992284,0.992270,0.992276,37.006352,30.000028, 0.012227, 0.005922
0,8,1.000000,0.998637,0.999824,1.002053,1.003946,1.005905,1.007433,1.008285,1.009107,1.009347,1.009334,1.009292,0.999895,0.999960,0.999999,1.000006,1.007506,1.008833,1.010578,1.011790,1.012978,1.014508,1.015794,1.017215,1.018029,1.018377,1.018523,1.007561,1.007623,1.007659,1.009542,1.009744,1.009820,1.009859,47.727003,30.000028, 0.000010, 0.000005
0,9,1.000000,1.000048,1.004389,1.011128,1.016620,1.021800,1.025981,1.028347,1.030991,1.032542,1.033340,1.033570,1.004744,1.004999,1.005085,1.005094,1.025742,1.028694,1.031976,1.034602,1.037122,1.039900,1.042123,1.043925,1.044546,1.044828,1.045004,1.026299,1.026498,1.026625,1.032749,1.033031,1.033120,1.033124,86.183694,30.000707, -0.047532, -0.023021
0,10,1.000000,0.999474,1.004862,1.013468,1.021436,1.029067,1.034797,1.037951,1.042198,1.045220,1.046456,1.046900,1.005086,1.005252,1.005317,1.005321,1.035107,1.039993,1.045608,1.049769,1.053661,1.058241,1.061851,1.064929,1.066701,1.067499,1.067892,1.035299,1.035732,1.036012,1.046004,1.046744,1.047149,1.047258,99.999862,38.598164, -601.822046, -291.475720
0,11,1.000000,0.999187,1.005808,1.015497,1.024277,1.032607,1.037720,1.040722,1.044581,1.046403,1.047177,1.047434,1.006735,1.007542,1.007700,1.007711,1.039820,1.045658,1.051833,1.057323,1.062545,1.068482,1.073064,1.077344,1.078808,1.079169,1.079305,1.038027,1.038066,1.038078,1.046839,1.047357,1.047666,1.047775,99.999955,65.512034, -1883.970843, -912.448724
0,12,1.000000,0.999552,1.004309,1.011831,1.018760,1.025043,1.030356,1.033507,1.037730,1.039377,1.040006,1.039942,1.004652,1.004951,1.005079,1.005089,1.029706,1.033706,1.038637,1.041970,1.044847,1.047988,1.050781,1.053189,1.055077,1.055544,1.055790,1.030653,1.030697,1.030832,1.039857,1.040257,1.040330,1.040296,99.275726,70.616867, -357.338358, -173.066866
0,13,1.000000,0.999677,1.005409,1.014541,1.021875,1.028345,1.032872,1.035252,1.038303,1.039682,1.039977,1.039987,1.005567,1.005562,1.005594,1.005600,1.033639,1.038539,1.044764,1.049763,1.054102,1.059760,1.064049,1.067844,1.069668,1.070269,1.070469,1.033353,1.033836,1.034106,1.040364,1.040979,1.041340,1.041412,99.578263,83.742491, -918.793641, -444.992070
0,14,1.000000,0.999662,1.004996,1.013315,1.020497,1.027457,1.032022,1.034427,1.037184,1.038087,1.038286,1.038415,1.005378,1.005745,1.005844,1.005852,1.033336,1.037996,1.043343,1.047792,1.051964,1.057082,1.061334,1.065038,1.066787,1.067514,1.067767,1.032505,1.032903,1.033102,1.038525,1.038932,1.039118,1.039193,99.177702,92.916292, -642.166084, -311.015229
