Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,1,1.000000,0.997068,0.993971,0.989765,0.986148,0.982764,0.980486,0.979243,0.977775,0.977046,0.976766,0.976683,0.993774,0.993597,0.993548,0.993544,0.980086,0.977837,0.975305,0.973297,0.971514,0.969486,0.967805,0.966199,0.965416,0.965112,0.965025,0.980279,0.980141,0.980070,0.976836,0.976620,0.976510,0.976473,44.258069,45.837477, -0.000000, -0.000000
0,2,1.000000,0.997213,0.994329,0.990438,0.987083,0.983911,0.981805,0.980670,0.979377,0.978754,0.978522,0.978442,0.994124,0.993941,0.993894,0.993890,0.981383,0.979278,0.976939,0.975017,0.973341,0.971450,0.969951,0.968537,0.967885,0.967619,0.967552,0.981603,0.981468,0.981395,0.978565,0.978376,0.978282,0.978251,42.050367,45.837477, 0.000000, 0.000000
0,3,1.000000,0.997409,0.994733,0.991098,0.987972,0.985035,0.983083,0.982003,0.980715,0.980068,0.979813,0.979731,0.994564,0.994405,0.994362,0.994357,0.982695,0.980733,0.978572,0.976821,0.975297,0.973561,0.972134,0.970831,0.970213,0.969975,0.969904,0.982917,0.982807,0.982754,0.979888,0.979714,0.979630,0.979604,39.096199,45.837477, 0.000000, 0.000000
0,4,1.000000,0.997447,0.994772,0.991184,0.988121,0.985249,0.983562,0.982670,0.981578,0.981009,0.980780,0.980723,0.994561,0.994384,0.994348,0.994344,0.982828,0.980780,0.978495,0.976675,0.975143,0.973352,0.971900,0.970645,0.970016,0.969735,0.969657,0.983389,0.983272,0.983221,0.980858,0.980699,0.980621,0.980597,38.514516,45.837477, 0.000000, 0.000000
0,5,1.000000,0.996728,0.993394,0.988861,0.984989,0.981343,0.978769,0.977305,0.975519,0.974686,0.974343,0.974250,0.993197,0.993014,0.992964,0.992960,0.978532,0.976154,0.973582,0.971505,0.969674,0.967558,0.965810,0.964041,0.963165,0.962819,0.962715,0.978582,0.978454,0.978396,0.974472,0.974248,0.974141,0.974112,48.763439,45.837477, 0.000000, -0.000000
0,6,1.000000,0.996130,0.992242,0.986958,0.982370,0.978005,0.974791,0.973028,0.971080,0.970160,0.969803,0.969673,0.992043,0.991877,0.991830,0.991826,0.974735,0.972019,0.969051,0.966578,0.964444,0.962140,0.960257,0.958616,0.957785,0.957460,0.957340,0.974507,0.974310,0.974208,0.969897,0.969622,0.969488,0.969449,56.034892,45.837477, 0.000000, 0.000000
0,7,1.000000,0.996400,0.993085,0.988623,0.984843,0.981367,0.979028,0.977749,0.976330,0.975581,0.975359,0.975255,0.992939,0.992841,0.992844,0.992842,0.978651,0.976405,0.973843,0.971547,0.969530,0.967414,0.965425,0.963773,0.963060,0.962715,0.962665,0.978818,0.978681,0.978597,0.975286,0.975015,0.974905,0.974873,49.341586,45.837477, 0.000000, -0.000000
0,8,1.000000,0.997625,0.996499,0.995182,0.993812,0.992534,0.991263,0.990574,0.989724,0.989365,0.989219,0.989157,0.996514,0.996507,0.996501,0.996501,0.991860,0.991338,0.990629,0.989819,0.989323,0.989058,0.988710,0.988182,0.987979,0.988021,0.988052,0.991145,0.991060,0.991003,0.989271,0.989167,0.989121,0.989101,30.610961,45.837477, 0.000000, 0.000000
0,9,1.000000,0.997916,0.998525,0.999809,1.000700,1.001583,1.002249,1.002559,1.002884,1.003256,1.003328,1.003371,0.998695,0.998874,0.998936,0.998943,1.002394,1.002929,1.003651,1.004439,1.005002,1.005846,1.006566,1.007407,1.007791,1.007817,1.007792,1.002352,1.002398,1.002374,1.003449,1.003660,1.003782,1.003828,44.333027,45.837477, 0.000000, 0.000000
0,10,1.000000,1.000493,1.006315,1.015246,1.022568,1.029343,1.032672,1.034491,1.036680,1.037885,1.038337,1.038506,1.006798,1.007328,1.007472,1.007481,1.035709,1.041029,1.047282,1.052504,1.056846,1.061714,1.065635,1.069362,1.071544,1.072408,1.072636,1.032974,1.033168,1.033292,1.038245,1.038613,1.038900,1.039024,106.493113,45.837477, 0.000000, 0.000000
0,11,1.000000,1.000535,1.006269,1.014932,1.022455,1.029326,1.034276,1.036936,1.039864,1.041174,1.041597,1.041769,1.006863,1.007588,1.007793,1.007809,1.034871,1.039647,1.044960,1.048792,1.051753,1.055167,1.057790,1.060058,1.061137,1.061697,1.061792,1.034758,1.035122,1.035386,1.041650,1.042045,1.042254,1.042289,105.565061,45.837477, 0.000000, 0.000000
0,12,1.000000,1.000427,1.006068,1.014864,1.021499,1.027706,1.033760,1.036872,1.041008,1.042974,1.043884,1.044376,1.006419,1.006786,1.006814,1.006815,1.031841,1.035597,1.039012,1.042080,1.044839,1.048341,1.051160,1.054006,1.054917,1.055065,1.055203,1.034457,1.034885,1.035116,1.043358,1.043865,1.044067,1.044132,105.929019,45.837477, 0.000000, 0.000000
0,13,1.000000,1.000480,1.006464,1.015767,1.023836,1.031324,1.036914,1.040271,1.043829,1.045777,1.046524,1.046838,1.006824,1.007210,1.007326,1.007318,1.037256,1.042659,1.048879,1.053875,1.058060,1.062829,1.066774,1.071013,1.072859,1.073500,1.073695,1.037194,1.037333,1.037354,1.046343,1.046802,1.047053,1.047149,108.592836,45.837477, 0.000000, 0.000000
0,14,1.000000,1.000215,1.005068,1.012672,1.019292,1.025635,1.030439,1.033174,1.036120,1.037251,1.037661,1.037750,1.005388,1.005713,1.005786,1.005800,1.030625,1.034880,1.039595,1.043445,1.046694,1.050457,1.053628,1.056575,1.058051,1.058655,1.058922,1.030791,1.031081,1.031190,1.037607,1.037968,1.038141,1.038187,95.433267,45.837476, 0.000000, 0.000000
0,15,1.000000,0.999734,1.003623,1.009611,1.014546,1.019229,1.022765,1.024798,1.027215,1.028666,1.029239,1.029364,1.004050,1.004383,1.004480,1.004486,1.022947,1.026081,1.029797,1.032657,1.035435,1.038757,1.041741,1.044890,1.046504,1.047079,1.047191,1.023010,1.023112,1.023149,1.029068,1.029451,1.029668,1.029727,79.340012,45.837476, 0.000000, -0.000000
