Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,1,1.000000,0.997130,0.994033,0.989828,0.986210,0.982827,0.980549,0.979306,0.977838,0.977109,0.976829,0.976746,0.993836,0.993659,0.993610,0.993606,0.980149,0.977900,0.975368,0.973360,0.971578,0.969550,0.967869,0.966263,0.965480,0.965176,0.965088,0.980342,0.980204,0.980133,0.976899,0.976683,0.976573,0.976536,43.237069,44.655359, 70.927094, 34.351560
0,2,1.000000,0.997127,0.994243,0.990351,0.986996,0.983824,0.981717,0.980583,0.979289,0.978666,0.978434,0.978354,0.994038,0.993855,0.993808,0.993804,0.981295,0.979190,0.976851,0.974928,0.973253,0.971361,0.969862,0.968448,0.967796,0.967530,0.967463,0.981516,0.981380,0.981307,0.978478,0.978288,0.978194,0.978163,43.473055,46.302178, -98.809141, -47.855451
0,3,1.000000,0.997133,0.994456,0.990820,0.987693,0.984755,0.982803,0.981723,0.980434,0.979787,0.979532,0.979450,0.994287,0.994128,0.994085,0.994081,0.982415,0.980452,0.978291,0.976539,0.975015,0.973278,0.971850,0.970547,0.969929,0.969691,0.969620,0.982637,0.982527,0.982473,0.979607,0.979433,0.979349,0.979323,43.657651,51.580448, -316.696209, -153.382974
0,4,1.000000,0.997135,0.994459,0.990870,0.987806,0.984934,0.983246,0.982354,0.981262,0.980692,0.980463,0.980406,0.994249,0.994072,0.994035,0.994032,0.982512,0.980463,0.978177,0.976356,0.974824,0.973032,0.971580,0.970325,0.969696,0.969414,0.969337,0.983072,0.982955,0.982905,0.980541,0.980382,0.980304,0.980280,43.666838,57.542013, -357.693916, -173.239070
0,5,1.000000,0.997070,0.993737,0.989206,0.985336,0.981690,0.979118,0.977654,0.975869,0.975036,0.974694,0.974600,0.993540,0.993358,0.993308,0.993303,0.978881,0.976504,0.973933,0.971856,0.970026,0.967911,0.966163,0.964396,0.963519,0.963174,0.963069,0.978931,0.978803,0.978745,0.974822,0.974599,0.974491,0.974463,43.132879,51.000879, 392.468082, 190.080967
0,6,1.000000,0.996936,0.993051,0.987772,0.983187,0.978826,0.975615,0.973853,0.971907,0.970988,0.970631,0.970502,0.992852,0.992686,0.992639,0.992635,0.975559,0.972845,0.969880,0.967409,0.965277,0.962975,0.961093,0.959453,0.958624,0.958299,0.958179,0.975331,0.975135,0.975032,0.970725,0.970450,0.970316,0.970278,42.944001,35.619358, 922.891220, 446.976618
0,7,1.000000,0.996694,0.993380,0.988920,0.985140,0.981666,0.979327,0.978049,0.976630,0.975882,0.975660,0.975555,0.993234,0.993136,0.993139,0.993137,0.978950,0.976706,0.974144,0.971849,0.969832,0.967717,0.965728,0.964077,0.963364,0.963020,0.962969,0.979118,0.978981,0.978896,0.975587,0.975316,0.975206,0.975174,44.677045,30.000044, 337.158860, 163.293489
0,8,1.000000,0.997625,0.996499,0.995182,0.993812,0.992534,0.991263,0.990574,0.989724,0.989365,0.989219,0.989157,0.996514,0.996507,0.996501,0.996501,0.991860,0.991338,0.990629,0.989819,0.989323,0.989058,0.988710,0.988182,0.987979,0.988021,0.988052,0.991145,0.991060,0.991003,0.989271,0.989167,0.989121,0.989101,30.610967,30.000059, -0.000881, -0.000427
0,9,1.000000,0.997916,0.998525,0.999809,1.000700,1.001583,1.002249,1.002559,1.002884,1.003256,1.003328,1.003371,0.998695,0.998874,0.998936,0.998943,1.002394,1.002929,1.003651,1.004439,1.005002,1.005846,1.006566,1.007407,1.007791,1.007817,1.007792,1.002352,1.002398,1.002374,1.003449,1.003660,1.003782,1.003828,44.333030,30.000024, 0.002082, 0.001008
0,10,1.000000,0.999700,1.005526,1.014462,1.021791,1.028570,1.031901,1.033721,1.035913,1.037118,1.037571,1.037739,1.006009,1.006539,1.006684,1.006692,1.034940,1.040264,1.046521,1.051748,1.056092,1.060964,1.064888,1.068617,1.070800,1.071665,1.071893,1.032204,1.032398,1.032522,1.037479,1.037847,1.038134,1.038258,97.528812,45.395270, -923.714747, -447.375471
